,feature,importance,feature_type
236,max_20170101T082332_B08,5,max_B08
237,max_20170101T082332_NDVI,6,max_NDVI
238,max_20170131T082151_B02,0,max_B02
239,max_20170131T082151_B03,1,max_B03
240,max_20170131T082151_B04,1,max_B04
241,max_20170131T082151_B05,4,max_B05
242,max_20170131T082151_B06,8,max_B06
243,max_20170131T082151_B08,2,max_B08
244,max_20170131T082151_NDVI,8,max_NDVI
245,max_20170210T082051_B02,0,max_B02
246,max_20170210T082051_B03,1,max_B03
247,max_20170210T082051_B04,1,max_B04
248,max_20170210T082051_B05,3,max_B05
249,max_20170210T082051_B06,11,max_B06
250,max_20170210T082051_B08,8,max_B08
251,max_20170210T082051_NDVI,2,max_NDVI
252,max_20170312T082001_B02,1,max_B02
253,max_20170312T082001_B03,3,max_B03
254,max_20170312T082001_B04,6,max_B04
255,max_20170312T082001_B05,5,max_B05
256,max_20170312T082001_B06,6,max_B06
257,max_20170312T082001_B08,10,max_B08
258,max_20170312T082001_NDVI,4,max_NDVI
259,max_20170322T081611_B02,0,max_B02
260,max_20170322T081611_B03,1,max_B03
261,max_20170322T081611_B04,1,max_B04
262,max_20170322T081611_B05,8,max_B05
263,max_20170322T081611_B06,19,max_B06
264,max_20170322T081611_B08,16,max_B08
265,max_20170322T081611_NDVI,13,max_NDVI
266,max_20170531T082011_B02,3,max_B02
267,max_20170531T082011_B03,2,max_B03
268,max_20170531T082011_B04,1,max_B04
269,max_20170531T082011_B05,8,max_B05
270,max_20170531T082011_B06,8,max_B06
271,max_20170531T082011_B08,6,max_B08
272,max_20170531T082011_NDVI,2,max_NDVI
273,max_20170620T082011_B02,1,max_B02
274,max_20170620T082011_B03,3,max_B03
275,max_20170620T082011_B04,2,max_B04
276,max_20170620T082011_B05,4,max_B05
277,max_20170620T082011_B06,3,max_B06
278,max_20170620T082011_B08,4,max_B08
279,max_20170620T082011_NDVI,2,max_NDVI
280,max_20170710T082011_B02,2,max_B02
281,max_20170710T082011_B03,8,max_B03
282,max_20170710T082011_B04,2,max_B04
283,max_20170710T082011_B05,1,max_B05
284,max_20170710T082011_B06,6,max_B06
285,max_20170710T082011_B08,0,max_B08
286,max_20170710T082011_NDVI,2,max_NDVI
287,max_20170715T081609_B02,3,max_B02
288,max_20170715T081609_B03,0,max_B03
289,max_20170715T081609_B04,2,max_B04
290,max_20170715T081609_B05,4,max_B05
291,max_20170715T081609_B06,1,max_B06
292,max_20170715T081609_B08,1,max_B08
293,max_20170715T081609_NDVI,5,max_NDVI
294,max_20170804T081559_B02,0,max_B02
295,max_20170804T081559_B03,1,max_B03
296,max_20170804T081559_B04,3,max_B04
297,max_20170804T081559_B05,9,max_B05
298,max_20170804T081559_B06,5,max_B06
299,max_20170804T081559_B08,4,max_B08
300,max_20170804T081559_NDVI,2,max_NDVI
